dataset_index,image,ground_truth,prediction,signed_error,absolute_error,percentage_error
1,seq_000001.jpg,29,27.7420711517334,-1.2579288482666016,1.2579288482666016,4.337685683677937
21,seq_000021.jpg,38,24.938888549804688,-13.061111450195312,13.061111450195312,34.37134592156661
41,seq_000041.jpg,27,25.436279296875,-1.563720703125,1.563720703125,5.791558159722222
61,seq_000061.jpg,23,23.624675750732422,0.6246757507324219,0.6246757507324219,2.7159815249235733
81,seq_000081.jpg,16,18.99204444885254,2.992044448852539,2.992044448852539,18.70027780532837
101,seq_000101.jpg,31,24.061756134033203,-6.938243865966797,6.938243865966797,22.381431825699345
122,seq_000122.jpg,26,21.7388916015625,-4.2611083984375,4.2611083984375,16.388878455528847
142,seq_000142.jpg,23,21.29553985595703,-1.7044601440429688,1.7044601440429688,7.4106962784476895
162,seq_000162.jpg,23,23.159276962280273,0.15927696228027344,0.15927696228027344,0.6925085316533628
182,seq_000182.jpg,17,20.796594619750977,3.7965946197509766,3.7965946197509766,22.33290952794692
202,seq_000202.jpg,26,27.336509704589844,1.3365097045898438,1.3365097045898438,5.140421940730168
223,seq_000223.jpg,22,29.677053451538086,7.677053451538086,7.677053451538086,34.895697506991304
243,seq_000243.jpg,25,22.007232666015625,-2.992767333984375,2.992767333984375,11.9710693359375
263,seq_000263.jpg,23,26.358531951904297,3.358531951904297,3.358531951904297,14.602312834366508
283,seq_000283.jpg,22,25.92087173461914,3.9208717346191406,3.9208717346191406,17.82214424826882
303,seq_000303.jpg,24,27.753612518310547,3.753612518310547,3.753612518310547,15.64005215962728
324,seq_000324.jpg,18,22.121845245361328,4.121845245361328,4.121845245361328,22.899140252007378
344,seq_000344.jpg,23,22.349002838134766,-0.6509971618652344,0.6509971618652344,2.8304224428923233
364,seq_000364.jpg,31,24.519203186035156,-6.480796813964844,6.480796813964844,20.90579617408014
384,seq_000384.jpg,40,28.722227096557617,-11.277772903442383,11.277772903442383,28.194432258605957
404,seq_000404.jpg,47,32.44612121582031,-14.553878784179688,14.553878784179688,30.965699540807844
425,seq_000425.jpg,34,24.538970947265625,-9.461029052734375,9.461029052734375,27.826556037454043
445,seq_000445.jpg,45,30.42426109313965,-14.575738906860352,14.575738906860352,32.39053090413411
465,seq_000465.jpg,31,30.414812088012695,-0.5851879119873047,0.5851879119873047,1.8877029418945312
485,seq_000485.jpg,28,25.517353057861328,-2.482646942138672,2.482646942138672,8.866596221923828
505,seq_000505.jpg,28,25.516895294189453,-2.483104705810547,2.483104705810547,8.868231092180524
525,seq_000525.jpg,33,29.893102645874023,-3.1068973541259766,3.1068973541259766,9.414840467048414
546,seq_000546.jpg,27,25.43334197998047,-1.5666580200195312,1.5666580200195312,5.802437111183449
566,seq_000566.jpg,21,25.440792083740234,4.440792083740234,4.440792083740234,21.146628970191593
586,seq_000586.jpg,28,25.134010314941406,-2.8659896850585938,2.8659896850585938,10.235677446637835
606,seq_000606.jpg,29,23.122798919677734,-5.877201080322266,5.877201080322266,20.266210621800916
626,seq_000626.jpg,42,29.031021118164062,-12.968978881835938,12.968978881835938,30.878521147228422
647,seq_000647.jpg,40,32.23466491699219,-7.7653350830078125,7.7653350830078125,19.41333770751953
667,seq_000667.jpg,31,27.861682891845703,-3.138317108154297,3.138317108154297,10.12360357469128
687,seq_000687.jpg,31,33.140560150146484,2.1405601501464844,2.1405601501464844,6.9050327424080145
707,seq_000707.jpg,37,35.654335021972656,-1.3456649780273438,1.3456649780273438,3.636932373046875
727,seq_000727.jpg,44,29.038976669311523,-14.961023330688477,14.961023330688477,34.00232575156472
748,seq_000748.jpg,40,34.94957733154297,-5.050422668457031,5.050422668457031,12.626056671142576
768,seq_000768.jpg,29,24.69852638244629,-4.301473617553711,4.301473617553711,14.832667646736935
788,seq_000788.jpg,25,26.6840877532959,1.6840877532958984,1.6840877532958984,6.736351013183593
808,seq_000808.jpg,37,32.43037414550781,-4.5696258544921875,4.5696258544921875,12.350340147276183
828,seq_000828.jpg,29,32.91415023803711,3.9141502380371094,3.9141502380371094,13.497069786334858
849,seq_000849.jpg,32,30.1075496673584,-1.8924503326416016,1.8924503326416016,5.913907289505005
869,seq_000869.jpg,35,33.007789611816406,-1.9922103881835938,1.9922103881835938,5.692029680524554
889,seq_000889.jpg,32,26.18889617919922,-5.811103820800781,5.811103820800781,18.15969944000244
909,seq_000909.jpg,41,25.585458755493164,-15.414541244506836,15.414541244506836,37.59644205977277
929,seq_000929.jpg,26,21.756803512573242,-4.243196487426758,4.243196487426758,16.319986490102913
950,seq_000950.jpg,37,28.62021255493164,-8.37978744506836,8.37978744506836,22.64807417586043
970,seq_000970.jpg,47,27.22995376586914,-19.77004623413086,19.77004623413086,42.063928157725236
990,seq_000990.jpg,35,25.124019622802734,-9.875980377197266,9.875980377197266,28.217086791992184
1010,seq_001010.jpg,26,19.95618438720703,-6.043815612792969,6.043815612792969,23.24544466458834
1030,seq_001030.jpg,38,27.009889602661133,-10.990110397338867,10.990110397338867,28.921343150891754
1050,seq_001050.jpg,31,28.601043701171875,-2.398956298828125,2.398956298828125,7.738568705897178
1071,seq_001071.jpg,37,27.918872833251953,-9.081127166748047,9.081127166748047,24.543586937156885
1091,seq_001091.jpg,25,26.58428192138672,1.5842819213867188,1.5842819213867188,6.337127685546876
1111,seq_001111.jpg,25,27.231430053710938,2.2314300537109375,2.2314300537109375,8.92572021484375
1131,seq_001131.jpg,25,24.783966064453125,-0.216033935546875,0.216033935546875,0.8641357421875001
1151,seq_001151.jpg,43,26.96454620361328,-16.03545379638672,16.03545379638672,37.29175301485284
1172,seq_001172.jpg,40,32.424739837646484,-7.575260162353516,7.575260162353516,18.93815040588379
1192,seq_001192.jpg,30,27.043903350830078,-2.956096649169922,2.956096649169922,9.853655497233072
1212,seq_001212.jpg,31,26.598308563232422,-4.401691436767578,4.401691436767578,14.199004634734122
1232,seq_001232.jpg,36,28.65850257873535,-7.341497421264648,7.341497421264648,20.393048392401802
1252,seq_001252.jpg,25,25.407682418823242,0.4076824188232422,0.4076824188232422,1.6307296752929685
1273,seq_001273.jpg,35,27.890914916992188,-7.1090850830078125,7.1090850830078125,20.311671665736608
1293,seq_001293.jpg,28,23.96782112121582,-4.03217887878418,4.03217887878418,14.400638852800643
1313,seq_001313.jpg,35,27.800622940063477,-7.199377059936523,7.199377059936523,20.56964874267578
1333,seq_001333.jpg,23,25.39098358154297,2.3909835815429688,2.3909835815429688,10.395580789317256
1353,seq_001353.jpg,28,25.521167755126953,-2.478832244873047,2.478832244873047,8.852972303118024
1374,seq_001374.jpg,18,23.392200469970703,5.392200469970703,5.392200469970703,29.956669277615017
1394,seq_001394.jpg,26,30.25089454650879,4.250894546508789,4.250894546508789,16.34959440964919
1414,seq_001414.jpg,33,33.63874053955078,0.6387405395507812,0.6387405395507812,1.935577392578125
1434,seq_001434.jpg,35,29.438213348388672,-5.561786651611328,5.561786651611328,15.890819004603795
1454,seq_001454.jpg,38,26.92238998413086,-11.07761001586914,11.07761001586914,29.151605304918792
1475,seq_001475.jpg,31,25.63606071472168,-5.36393928527832,5.36393928527832,17.30302995251071
1495,seq_001495.jpg,33,36.867149353027344,3.8671493530273438,3.8671493530273438,11.718634403113162
1515,seq_001515.jpg,37,27.57817840576172,-9.421821594238281,9.421821594238281,25.464382687130488
1535,seq_001535.jpg,34,26.780797958374023,-7.219202041625977,7.219202041625977,21.23294718125287
1555,seq_001555.jpg,44,36.20447540283203,-7.795524597167969,7.795524597167969,17.71710135719993
1575,seq_001575.jpg,25,26.665239334106445,1.6652393341064453,1.6652393341064453,6.660957336425781
1596,seq_001596.jpg,28,27.331674575805664,-0.6683254241943359,0.6683254241943359,2.3868765149797713
1616,seq_001616.jpg,32,25.243362426757812,-6.7566375732421875,6.7566375732421875,21.114492416381836
1636,seq_001636.jpg,41,28.304288864135742,-12.695711135864258,12.695711135864258,30.965149111864044
1656,seq_001656.jpg,43,27.855850219726562,-15.144149780273438,15.144149780273438,35.218952977380084
1676,seq_001676.jpg,28,24.149404525756836,-3.850595474243164,3.850595474243164,13.752126693725586
1697,seq_001697.jpg,20,24.416500091552734,4.416500091552734,4.416500091552734,22.082500457763672
1717,seq_001717.jpg,34,29.22615623474121,-4.773843765258789,4.773843765258789,14.040716956643498
1737,seq_001737.jpg,28,31.173683166503906,3.1736831665039062,3.1736831665039062,11.334582737513951
1757,seq_001757.jpg,39,25.280561447143555,-13.719438552856445,13.719438552856445,35.17804757142679
1777,seq_001777.jpg,32,27.545732498168945,-4.454267501831055,4.454267501831055,13.919585943222046
1798,seq_001798.jpg,39,24.41289710998535,-14.587102890014648,14.587102890014648,37.40282792311449
1818,seq_001818.jpg,31,26.512271881103516,-4.487728118896484,4.487728118896484,14.476542319020918
1838,seq_001838.jpg,36,25.674835205078125,-10.325164794921875,10.325164794921875,28.681013319227432
1858,seq_001858.jpg,35,29.794818878173828,-5.205181121826172,5.205181121826172,14.871946062360491
1878,seq_001878.jpg,26,26.246414184570312,0.2464141845703125,0.2464141845703125,0.9477468637319711
1899,seq_001899.jpg,30,27.891878128051758,-2.108121871948242,2.108121871948242,7.027072906494141
1919,seq_001919.jpg,39,33.25410842895508,-5.745891571044922,5.745891571044922,14.733055310371595
1939,seq_001939.jpg,25,28.08149528503418,3.0814952850341797,3.0814952850341797,12.325981140136719
1959,seq_001959.jpg,28,22.328489303588867,-5.671510696411133,5.671510696411133,20.255395344325475
1979,seq_001979.jpg,30,22.658008575439453,-7.341991424560547,7.341991424560547,24.473304748535156
2000,seq_002000.jpg,26,21.483909606933594,-4.516090393066406,4.516090393066406,17.369578434870796
